step,loss,grad_norm,sigma_min,sigma_mean,rho_max,rho_min,rho_mean,eos_mean
107,3.2998924255371094,0.8863531947135925,0.2389400154352188,0.8929347395896912,0.8192833662033081,-0.7363277673721313,0.07701034843921661,0.20572324097156525
108,3.3007707595825195,0.8216214179992676,0.23521144688129425,0.8901997208595276,0.8280859589576721,-0.7626804709434509,0.07997310161590576,0.20585033297538757
109,3.3084404468536377,0.8533787727355957,0.2210383415222168,0.8867295980453491,0.8220621347427368,-0.7452685832977295,0.0838703140616417,0.2048707753419876
110,3.263542890548706,0.863943338394165,0.22900575399398804,0.8793425559997559,0.8111933469772339,-0.7583879232406616,0.09292672574520111,0.19321991503238678
111,3.2610602378845215,0.7976816892623901,0.21617159247398376,0.8773722052574158,0.8357565402984619,-0.7631816864013672,0.09684459120035172,0.19186508655548096
112,3.2438158988952637,0.857637345790863,0.18625187873840332,0.8691308498382568,0.8204085826873779,-0.7665413022041321,0.10618602484464645,0.18011263012886047
113,3.270315408706665,0.8499445915222168,0.2224048525094986,0.8714044690132141,0.8360238075256348,-0.7558581829071045,0.10789942741394043,0.18733014166355133
114,3.22469425201416,0.8915172219276428,0.21322908997535706,0.8752140998840332,0.8361254334449768,-0.790378212928772,0.1087527647614479,0.1970892697572708
115,3.1976492404937744,0.8208027482032776,0.20121130347251892,0.8634777069091797,0.8359813094139099,-0.7582941055297852,0.12078846246004105,0.17710335552692413
116,3.210613489151001,0.8344950079917908,0.20736591517925262,0.8671171069145203,0.8516759276390076,-0.8024632334709167,0.1238979920744896,0.1817217916250229
117,3.1873533725738525,0.9065352082252502,0.21430887281894684,0.8612198829650879,0.8419874310493469,-0.7638977766036987,0.13557933270931244,0.16812148690223694
118,3.2003417015075684,0.8446367383003235,0.18228505551815033,0.8687928318977356,0.8574888110160828,-0.7913787364959717,0.13668011128902435,0.17699509859085083
119,3.1692559719085693,0.9166577458381653,0.19272048771381378,0.8647647500038147,0.8555866479873657,-0.7421557903289795,0.1493919938802719,0.1613871455192566
120,3.1740705966949463,0.9822241067886353,0.18800194561481476,0.868467390537262,0.8757386207580566,-0.7240849137306213,0.15566447377204895,0.16062740981578827
121,3.1530299186706543,1.0068519115447998,0.18847782909870148,0.8703053593635559,0.8605124950408936,-0.783969521522522,0.1642284095287323,0.15652962028980255
122,3.1289992332458496,1.017345666885376,0.19230981171131134,0.8775869011878967,0.8690415620803833,-0.7358418107032776,0.16473478078842163,0.16171297430992126
123,3.1189756393432617,0.9764399528503418,0.1875075101852417,0.882981538772583,0.8684412240982056,-0.7508594393730164,0.17572811245918274,0.15168063342571259
124,3.059161901473999,1.0260590314865112,0.1988356113433838,0.89230877161026,0.8670941591262817,-0.7483267784118652,0.18045632541179657,0.15076784789562225
125,3.070749282836914,1.1234800815582275,0.17472000420093536,0.9038557410240173,0.8658028244972229,-0.7705323100090027,0.18702654540538788,0.14909914135932922
126,3.0424344539642334,1.1128038167953491,0.18705321848392487,0.9165951609611511,0.866978645324707,-0.7484086155891418,0.19385139644145966,0.14365805685520172
127,3.0424718856811523,1.166898250579834,0.18047325313091278,0.931056559085846,0.875777542591095,-0.7460820078849792,0.2019006758928299,0.13856646418571472
128,3.0097036361694336,1.0719788074493408,0.1824733167886734,0.9492359757423401,0.8685092926025391,-0.7702762484550476,0.20547135174274445,0.13705073297023773
129,2.993969678878784,1.159409999847412,0.1736772656440735,0.969744086265564,0.8808600306510925,-0.7888136506080627,0.2167396992444992,0.12618272006511688
130,2.9499733448028564,1.148263931274414,0.1896003931760788,0.9917113184928894,0.860957145690918,-0.7549249529838562,0.22007933259010315,0.12725037336349487
131,2.951552152633667,1.0788763761520386,0.18876750767230988,1.0189787149429321,0.8781115412712097,-0.7510121464729309,0.2278224676847458,0.11990770697593689
132,2.9356651306152344,1.0754168033599854,0.18186458945274353,1.0480343103408813,0.8764356374740601,-0.7398852705955505,0.2267802506685257,0.1290753185749054
133,2.9222254753112793,1.0158517360687256,0.18003569543361664,1.075291633605957,0.8675956130027771,-0.7453258633613586,0.22635649144649506,0.13105596601963043
134,2.9012997150421143,1.0136690139770508,0.17314204573631287,1.1151412725448608,0.8565680980682373,-0.7568003535270691,0.23539023101329803,0.12240009009838104
135,2.9165987968444824,0.8948976993560791,0.1861908882856369,1.1512383222579956,0.8836869597434998,-0.73856121301651,0.23520450294017792,0.12464823573827744
136,2.8662209510803223,0.8791703581809998,0.16035543382167816,1.18834388256073,0.8564223647117615,-0.7408097982406616,0.240116149187088,0.11895251274108887
137,2.882059335708618,0.7970144152641296,0.18139411509037018,1.2377225160598755,0.8745834231376648,-0.7699207067489624,0.24229031801223755,0.11943477392196655
138,2.846935510635376,0.7350238561630249,0.16532517969608307,1.2946363687515259,0.8521085381507874,-0.7532815933227539,0.24847660958766937,0.11520112305879593
139,2.8168253898620605,0.7248920798301697,0.17024259269237518,1.3405616283416748,0.8553125262260437,-0.7707357406616211,0.2476777285337448,0.11608262360095978
140,2.848722219467163,0.6543772220611572,0.16295799612998962,1.3934658765792847,0.8482514023780823,-0.7404574751853943,0.24965743720531464,0.11409314721822739
141,2.83072566986084,0.6275885701179504,0.18599341809749603,1.4752049446105957,0.8518125414848328,-0.7352824211120605,0.26107028126716614,0.10047267377376556
142,2.8160886764526367,0.5879989862442017,0.18433299660682678,1.499571442604065,0.8640939593315125,-0.769154965877533,0.251603364944458,0.11390019953250885
143,2.780780792236328,0.5351471304893494,0.1802915632724762,1.5741127729415894,0.8738769888877869,-0.7704804539680481,0.2561294436454773,0.110216423869133
144,2.807422637939453,0.5343983769416809,0.1859596222639084,1.6405164003372192,0.8604804873466492,-0.7314409017562866,0.25984448194503784,0.10575202107429504
